cnt,seg,word
3,"['收到', '了', '，', '太', '实惠', '了', '，', '买', '了', '一', '大', '箱', '，', '以后', '继续', '购买', '，', '送货', '速度', '快', '服务', '也好']","['实惠', '快', '也好', '']"
3,"['热水器', '加热', '时间', '太长', '，', '安装费', '太贵', '，', '预留', '太阳能口', '摆设', '，', '根本', '用', '不', '到', '，', '没有', '水位', '指示器', '，', '加', '满', '热水', '的', '指示灯', '放在', '了', '最', '侧面', '，', '不方便', '用户', '看', '指示灯', '，', '必须', '斜', '着', '看', '才', '能', '看到', '，']","['太长', '太贵', '不方便', '']"
2,"['真', '*', '*', '差', '，', '我', '都', '无语', '了', '。', '眼瞎', '才', '买', '了']","['差', '无语', '']"
2,"['很', '满意', '，', '因为', '出差', '，', '还', '没有用', '，', '东西', '装', '上', '我', '看', '了', '，', '非常', '好']","['满意', '好', '']"
3,"['给', '奶奶', '买', '的', '，', '效果', '不错', '，', '厂', '家', '服务', '也好', '，', '给', '好评', '[', '追', '评', ']']","['不错', '也好', '好评', '']"
0,"['这个', '中奖', '有用', '吗', '？', '且', '不', '说', '中奖', '，', '这个', '是', '我', '买', '了', '这', '么', '多', '一', '加', '3', 't', '钢化膜', '中', '最高', '清', '最', '好看', '的', '，', '没有', '之一', '。']","['高清', '最好', '']"
3,"['不错', '，', '家', '用', '刚刚', '好', '，', '制冷', '也', '不错']","['不错', '不错', '好', '']"
1,"['电流声', '真心', '受不了', '！', '而且', '电脑', '开机', '的', '时候', '会', '有', '爆破声', '。', '。', '。']","['受不了', '']"
2,"['电视', '挺好', '，', '都', '挺', '满意']","['挺好', '满意', '']"
1,"['不', '是', '特别', '好', '的', '购买', '体验', ' ', 'App说', '有', '货', '可以', '马上', '送货', ' ', '结果', '4', '天', '收到']","['可以', '']"
3,"['我', '买', '过', '这个', '价', '格', '最', '差', '的', '指甲油', '，', '没有', '之一', '。', '秒杀', '买', '的', '，', '没有', '多', '高', '的', '期望', '，', '但', '真', '的', '没', '想到', '会', '这', '么', '差', '！', '隔', '着', '盒子', '还', '没', '闻', '到', '，', '一', '打', '盒子', '，', '那', '一', '股', '油漆', '味道', '，', '全', '屋子', '都', '是', '！', '太味', '了', '，', '和', '批发', '市场', '3', '、', '5', '元', '的', '质量', '差不多', '。', '不', '建议', '购买', '。']","['差不多', '差', '没有高', '差', '']"
2,"['粉', '特别', '干', '，', '送', '的', '唇彩', '不能用', '，', '颜色', '很', '难看']","['难看', '干', '']"
1,"['垃圾线', '，', '用', '来', '连', 'titan', ' ', 'pascal与pg', '348', '的', '，', '不', '停', '地', '黑屏', '闪屏', '，', '我', '换', '回', '原', '配', '的', '线', '一点', '问题', '都', '没有', '。']","['黑屏', '垃圾', '']"
1,"['表带', '带', '着', '痒', '，', '不', '知道', '怎', '么', '回', '事']","['痒', '']"
1,"['物流', '太慢', '，', '一个', '星期', '多', '才', '到', '，', '不', '是', '很', '热', '，', '有点', '失望']","['慢', '失望', '']"
6,"['很', '满意', '，', '噪音', '控制', '很好', '，', '很', '安静', '，', '制冷', '效果', '不错', '，', '制', '热', '还', '没', '试', '。', '安装', '师傅', '很', '尽心', '，', '比', '格力', '的', '安装', '师傅', '服务', '好', '太', '多', '！']","['好', '安静', '不错', '很好', '尽心', '满意', '']"
0,"['不', '是', '很', '满意', '，', '与', '原', '图', '有', '差异']","['不是满意', '']"
1,"['服务', '太', '好', '了', '，', '漏水', '了', '，', '马上', '换', '新']","['好', '']"
1,"['这个', '商品', '不是很好', '，', '用', '的', '时候', '感觉', '不', '太', '像', '洗面奶']","['不是很好', '']"
3,"['质量', '很好', '，', '速度', '相当', '快', '不卡顿', '！']","['很好', '不卡顿', '快', '']"
2,"['太', '坑娘', '了', '，', '产品', '不', '到', '一半', '，', '差不多', '一百', '块', '太', '不值', '了']","['坑', '不值', '差不多', '']"
1,"['清洁', '功能', '挺好', '，', '以前', '就算', '刚', '洗', '完', '头发', '不', '久', '就', '有', '粉粉', '的', '头屑', '，', '用', '这个', '洗就', '一点', '都', '没有', '了']","['挺好', '']"
1,"['一直', '以', '来', '都', '用', '相宜', '本草', '的', '，', '还可以']","['还可以', '']"
2,"['很', '不', '错要', '比', '婴儿', '店', '里', '便宜', '好多', '一直', '信赖', '京东', '自', '营']","['便宜', '不错', '信赖', '']"
3,"['扫', '了', '一下', '是', '正品', '！', '！', '比', '之前', '买', '的', '便宜', '，', '味道', '也', '一样', '！', '！', '下次', '还', '回', '来', '！', '物流', '如果', '能', '快', '点', '就', '好', '了', '！', '！']","['正品', '便宜', '好', '']"
2,"['是', '挺', '滋润', ' ', '易', '摸', '开', ' ', '味道', '也', '还可以']","['滋润', '还可以', '']"
2,"['质量', '看', '起', '来', '一般般', '哦', '！', '快递', '小哥', '赞', '一个']","['赞', '一般般', '']"
1,"['做工', '很', '一般', '不', '知道', '穿', '了', '怎', '么', '样']","['一般', '']"
3,"['订单', '发出', '后', '很快', '收到', '了', '物品', '，', '很', '高兴', '！', ' ', '只是', '包装', '的', '盒子', '像', '是', '快', '破', '了', '，', '里面', '的', '说明书', '也', '不', '知', '哪', '里', '去', '了', '，', '和', '商店', '购买', '的', '不', '同', '。', ' ', '里面', '的', '是', '一样', '的', '。']","['很高', '很快', '快', '破', '']"
1,"['不', '是', '我', '想', '要', '的', '布鞋', '，', '老公', '一点', '都', '不喜欢']","['不喜欢', '']"
2,"['很好', '用', '，', '线足', '够长', '，', '质量', '也', '非常', '好']","['长', '很好', '足够', '好', '']"
1,"['两', '个', '啊', '！', '谁', '知道', '你', '审核', '让', '不', '让', '别人', '看到', '啊', '？', '同一', '地', '放', '有', '瑕疵', '，', '同一', '批次', '的', '旧货', '？', '？', '？']","['瑕疵', '']"
1,"['感觉', '一般']","['一般', '']"
4,"['很多', '东西', '不是通用', '的', '车型', '，', '厂', '家', '也', '不', '提醒', '，', '都', '无法', '安装', '，', '手刹', '套', '买', '回去', '不', '配套', '，', '无论', '怎', '么', '用尽', '力气', '都', '不', '能', '完全', '装', '进去', '，', '口子', '小', '了', '。', '排挡杆', '也', '无法', '使用', '，', '福特', '的', '车子', '扯', '面', '没有', '东西', '，', '而且', '你', '那个', '那', '么', '大', '，', '多', '出', '来', '干什', '么', '。', '储物', '防滑', '的', '小', '篮子', '也', '不', '防滑', '，', '车子', '开', '到', '哪', '，', '他', '就', '飘', '到', '哪', '里', '！', '坑', '，', '一点', '都', '不适用', '。']","['坑', '不适用', '很多', '不是通用', '']"
1,"['快递', '非常', '慢']","['慢', '']"
0,"['不', '错哦', '，', '店', '家', '赠送', '的', '，', '感谢', '~']","['不错', '']"
1,"['用', '了', '好几', '个', '了', '，', '很好']","['很好', '']"
3,"['很', '不错', '，', '躁声', '很小', '很小', '，', '几乎', '静音', '的', '效果']","['很小', '静音', '不错', '']"
3,"['可以', '买', '，', '性', '价', '比', '高', '，', '不错']","['不错', '可以', '高', '']"
